,comments
391,"In the US a non-compete is no longer legally binding if you can prove that it prevents you from pursuing your career, but I don&#39;t know how that works in the UK. Eitherway the advice in this is great for all of your looking to join corpo gang gang.<br><br>Get everything in writing, send copies to your personal email, and get a lawyer if they try to screw you."
392,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=350"">5:50</a> &quot;Yo devs, this is broken.&quot;   Uhh, yeah...  We know.  It&#39;s not done yet."
393,"How would you setup &quot;Email Mike&quot; for something like FedEx Services? God there are so many things wrong with that opco, awful stuff, and I am sure Fred doesn&#39;t know that middle management is ruining his company."
394,"There is no &quot;quick fix&quot; to the StarCraft 2 maphack problem, as the game state is entirely handled by applying each tick of inputs on each client. Sadly you can&#39;t apply inputs to units you don&#39;t know about. This was the reason for the &quot;Waiting for Player&quot; screens in War3/SC2. As soon as one client lacks behind in processing ticks, the entire session has to pause and wait for them to catch up.<br><br>This is not a problem in an ad-hoc solution like the one used in other engines, where you get the current state of each entity, and interpolate(or extrapolate) between these states."
395,You gotta interrupt the guy some more. Really ties the interview together.
396,"As a current Amazonian, who works in the AWS Data Centers, these comments have some mixed feelings for me. I love working in the Data Centers and the unique environment that&#39;s created by the people on my team. However, I cannot stand the management of this company. You are no longer a person but a number. You are replaceable, you are not special.<br><br>I have wanted to leave Amazon for a long time, but can&#39;t. I have no education, no certifications, and a pile of mental health issues that make working anywhere else difficult. A lot of the things that Chris Sayers has said, is what I&#39;ve dealt with. I have a manager that is still learning how to be a good manager and is overwhelmed. Even though I have no education, certifications, and mental health issues, it still hasn&#39;t stopped me from trying. For that, I thank you, Thor, Lord of the Chat Goblins.<br><br>Edit: Amazon/AWS is notorious for not putting things in writing. Why? No proof. Your word vs theirs."
397,I had 0 idea who mike was.
398,&quot;*P-cuz&quot;
399,"We want StarCraft 3, Warcraft 4, a GOOD diablo game. Things we&#39;ll never see from blizzard. Personally I&#39;m looking forward to Stormgate. Blizzard died after StarCraft 2 for RTS fans."
400,I finally accidentallied mybwas actoss the source of all those shorts that got me to subscribe to pirate software.
401,I&#39;ve been a Ruby on Rails developer for 10 years. <br>Why must you hurt me?
402,I want this man&#39;s headphones. Akg k712
403,I wish Blizzard never started classic WoW. I was happy to be free of them playing on private servers.
404,"&quot;QA is getting ahead of development&quot; my god, what the hell :("
405,"Holy fuck, let the guy talk man. All those interruptions are so annoying.<br><br>PS: I reported a maphacker once too in the Blizzard forums because reporting them ingame didn&#39;t do anything. But blizzard didn&#39;t ban them because there is no 100% proof that someone is hacking. Like if the enemy moves straight to your army that is moving in for an attack in fog off war to one of the many enemy bases, this is 100% proof of someone maphacking especially if it happens multiple times in the game. BUT blizzard says, well could be luck... I&#39;ve got banned from the forums for reporting another player there. Never touched anything from blizzard again. Completely incompetent"
406,Oh wow. The respect that the Internet is giving you for being a bunch of silver spoon ankle biters is laughable. The amount of people willing to be a living lava lamp is embarrassing in this day and age.
407,"My first job was as game developer. One of the seniors told me in my first 3 months &quot;testers have no name&quot;. He was joking, as he was friends with a lot of the guys, but even so, the culture was there."
408,"Am I the only one who would prefer if you just stuck to the general theme of the conversation more ? Its like... 2 lines are read from Blizzard in about 10sec, and then 5 mins or other stuff thats not that interesting, then again 2 lines about Blizzard and the point of the story, and then 5+ mins about something else mid conversation. <br><br>Just hard to actually follow and focus on the main story/subject. Half the time you keep interrupting him mid story to say something random that has nothing to do with the conversation that is happening. Not early on, but good 30-40 mins into the talk the conversation goes off the rails all the time.<br><br>If its only me noticing this and was bothered by it ? I stand corrected, keep going."
